age_CE  trsgi   numsamp
1523    1104     16
1524    1169     16
1525    1213     16
1526     944     17
1527     987     17
1528    1025     17
1529     703     17
1530     927     17
1531    1099     17
1532     896     17
1533     866     17
1534    1139     17
1535    1105     17
1536     992     17
1537     849     17
1538    1000     17
1539    1130     17
1540    1094     17
1541     892     17
1542     985     17
1543    1106     17
1544    1274     17
1545    1145     18
1546    1078     18
1547    1070     18
1548     817     18
1549     939     18
1550     970     19
1551    1065     19
1552    1148     19
1553    1115     20
1554     938     20
1555     925     20
1556    1013     20
1557    1041     20
1558    1101     20
1559     942     20
1560    1000     20
1561    1095     20
1562    1017     20
1563     942     20
1564    1146     20
1565     898     20
1566     893     20
1567     941     20
1568    1016     20
1569     867     20
1570     882     20
1571     796     20
1572    1096     20
1573    1131     20
1574    1140     20
1575    1119     20
1576    1029     20
1577    1226     20
1578    1214     21
1579     958     21
1580     294     21
1581     934     21
1582    1103     21
1583    1213     21
1584    1108     21
1585    1243     21
1586    1170     21
1587    1200     22
1588    1080     22
1589    1276     22
1590    1135     22
1591    1292     22
1592    1256     22
1593    1276     22
1594    1201     22
1595    1318     22
1596    1356     22
1597    1350     22
1598     777     22
1599     960     23
1600    1049     23
1601     998     22
1602    1020     22
1603    1000     22
1604     990     22
1605    1011     22
1606     757     22
1607     676     22
1608     893     22
1609     886     22
1610    1024     22
1611     940     22
1612     948     22
1613     949     22
1614     965     22
1615    1010     22
1616     987     23
1617     991     23
1618     963     24
1619     814     24
1620    1003     24
1621     824     25
1622     807     25
1623    1022     25
1624    1165     26
1625    1204     26
1626    1005     26
1627     810     26
1628     928     26
1629     833     26
1630     929     26
1631     972     26
1632     847     26
1633    1009     26
1634    1071     26
1635    1064     26
1636    1188     26
1637    1085     26
1638     937     26
1639     982     26
1640    1098     26
1641    1124     26
1642    1001     26
1643     769     26
1644     971     26
1645    1070     26
1646     985     26
1647    1067     26
1648     990     26
1649     964     25
1650     909     25
1651     955     24
1652    1078     24
1653     605     24
1654     510     24
1655     668     24
1656     860     24
1657     829     24
1658     934     24
1659     867     25
1660     933     26
1661    1134     26
1662    1049     26
1663    1063     26
1664     846     26
1665     945     28
1666    1069     28
1667    1005     28
1668    1085     28
1669     991     28
1670    1133     28
1671    1115     28
1672    1082     28
1673    1194     28
1674    1106     28
1675     985     28
1676     837     28
1677    1032     29
1678    1079     29
1679    1097     30
1680    1006     30
1681    1024     30
1682     886     30
1683    1006     30
1684    1084     30
1685    1094     30
1686     914     30
1687     974     31
1688    1164     31
1689    1201     31
1690    1188     31
1691     985     31
1692    1040     31
1693    1072     31
1694    1079     31
1695    1030     32
1696     872     32
1697    1004     32
1698     972     32
1699     882     32
1700     783     32
1701     796     32
1702     888     32
1703     640     32
1704     825     33
1705    1033     34
1706     662     35
1707     652     35
1708     905     35
1709    1087     35
1710    1116     36
1711     808     36
1712     886     36
1713    1084     36
1714     903     36
1715     951     37
1716    1088     37
1717    1301     37
1718    1088     37
1719     912     37
1720    1057     37
1721    1136     37
1722    1107     38
1723    1147     38
1724    1242     38
1725    1325     38
1726    1275     38
1727    1161     38
1728    1253     38
1729     871     39
1730    1220     39
1731    1168     39
1732    1131     39
1733     954     39
1734    1070     39
1735    1059     39
1736     963     39
1737    1088     39
1738    1263     40
1739     851     40
1740     821     40
1741     959     40
1742    1085     40
1743     992     40
1744    1027     40
1745    1083     40
1746     905     40
1747     914     40
1748     871     40
1749     968     40
1750     821     40
1751     619     41
1752     999     41
1753    1050     41
1754    1055     42
1755     962     42
1756     868     42
1757    1002     42
1758    1089     42
1759    1013     42
1760    1003     42
1761    1239     42
1762    1134     42
1763    1033     42
1764     939     42
1765     923     42
1766    1137     42
1767    1176     42
1768    1275     42
1769    1101     42
1770    1025     42
1771     972     42
1772    1254     42
1773    1115     42
1774    1254     42
1775    1205     42
1776     890     42
1777     566     42
1778     519     42
1779     878     42
1780    1164     42
1781    1014     43
1782    1083     43
1783     850     43
1784    1277     43
1785    1180     43
1786    1236     44
1787    1102     44
1788    1097     44
1789    1023     44
1790    1064     44
1791     991     44
1792     932     44
1793     910     44
1794     802     44
1795     611     43
1796     838     43
1797    1093     44
1798    1026     45
1799     966     45
1800     971     45
1801    1031     45
1802    1059     46
1803    1003     46
1804     876     47
1805     822     48
1806     848     48
1807     866     48
1808     866     48
1809     929     48
1810     926     47
1811    1159     47
1812    1149     47
1813    1125     47
1814    1231     47
1815    1051     47
1816     886     47
1817     881     47
1818     999     47
1819     773     47
1820     832     47
1821     863     47
1822     790     47
1823     877     47
1824     961     47
1825    1078     47
1826    1102     48
1827     964     48
1828     969     48
1829     895     49
1830     890     49
1831    1047     49
1832    1220     49
1833     822     49
1834     852     49
1835     851     49
1836     891     49
1837     850     49
1838     781     49
1839     734     49
1840     737     49
1841     588     49
1842     830     47
1843     790     47
1844     803     47
1845     949     47
1846     877     47
1847    1015     48
1848     926     48
1849     821     48
1850     823     48
1851     808     48
1852     925     48
1853    1033     48
1854     748     48
1855     921     48
1856     919     48
1857     924     48
1858     839     48
1859     876     48
1860    1055     48
1861    1078     48
1862    1113     48
1863     969     48
1864     779     48
1865     884     48
1866    1075     48
1867    1211     48
1868    1197     48
1869     860     48
1870     969     48
1871    1042     48
1872    1090     48
1873    1132     48
1874    1059     48
1875    1122     48
1876    1196     48
1877    1145     48
1878    1279     48
1879    1194     48
1880    1191     48
1881    1480     49
1882    1299     49
1883    1313     49
1884    1453     49
1885    1604     49
1886    1534     49
1887    1451     49
1888    1416     49
1889    1473     49
1890    1374     49
1891    1365     49
1892     951     49
1893    1122     49
1894    1339     49
1895    1233     49
1896    1068     49
1897    1312     49
1898    1173     49
1899    1056     49
1900    1222     49
1901    1218     49
1902     960     50
1903    1040     50
1904    1088     50
1905     928     50
1906    1117     50
1907    1054     50
1908    1014     50
1909     770     50
1910     816     49
1911     813     49
1912     867     49
1913     843     49
1914     736     49
1915     664     49
1916     863     49
1917     671     49
1918     662     49
1919     758     49
1920     727     49
1921     734     49
1922     771     49
1923     735     49
1924     447     49
1925     819     49
1926     631     49
1927     750     49
1928     770     49
1929     784     49
1930     793     49
1931     569     49
1932     576     49
1933     704     49
1934     714     49
1935     662     49
1936     840     49
1937     647     49
1938     816     49
1939     822     49
1940     877     49
1941     919     49
1942     890     49
1943     931     49
1944     823     49
1945     932     49
1946    1008     49
1947    1004     49
1948     847     49
1949     828     49
1950    1013     49
1951    1195     49
1952    1109     49
1953     990     49
1954    1240     49
1955    1049     49
1956    1107     49
1957    1096     49
1958    1271     49
1959     729     49
1960     919     49
1961     855     49
1962    1053     49
1963    1065     49
1964    1103     49
1965    1119     49
1966    1024     49
1967    1215     49
1968    1271     49
1969    1318     49
1970    1085     49
1971    1198     49
1972    1038     49
1973     996     49
1974    1187     49
1975    1052     49
1976     927     49
1977     503     49
1978     988     49
1979     682     49
1980     946     49
1981     896     49
1982    1052     49
1983     961     49
1984    1162     49
1985    1215     49
1986    1318     49
1987    1205     48
1988    1261     48
1989    1188     48
1990     774     48
1991     897     48
1992    1183     48
